Unnamed: 0,ID,Innings,Venue,batsman1,batsman2,batsman3,batsman4,batsman5,batsman6,bowler1,bowler2,bowler3,bowler4,bowler5,tot_runs_x,batsman1_strike_rate,batsman1_batting_avg,batsman2_strike_rate,batsman2_batting_avg,batsman3_strike_rate,batsman3_batting_avg,batsman4_strike_rate,batsman4_batting_avg,batsman5_strike_rate,batsman5_batting_avg,batsman6_strike_rate,batsman6_batting_avg,bowler1_economy,bowler1_bowling_avg,bowler2_economy,bowler2_bowling_avg,bowler3_economy,bowler3_bowling_avg,bowler4_economy,bowler4_bowling_avg,bowler5_economy,bowler5_bowling_avg,tot_runs_y
75,1304083,2,"Wankhede Stadium, Mumbai",RG Sharma,Ishan Kishan,,,,,JO Holder,Mohsin Khan,KH Pandya,PVD Chameera,,43,96.96599230179808,30.25925925925926,97.1470798503979,56.583333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.943396226415095,52.66666666666666,5.5625,14.833333333333334,7.524590163934426,35.30769230769231,8.416666666666666,28.857142857142858,0.0,0.0,45.17741935483871
80,1304080,1,"Wankhede Stadium, Mumbai",D Padikkal,JC Buttler,,,,,KK Ahmed,Lalit Yadav,Mustafizur Rahman,SN Thakur,,44,101.5529136002946,33.21052631578947,125.41178130297332,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.203125,32.8125,7.25,29.0,6.824561403508772,43.22222222222222,8.724137931034482,36.142857142857146,0.0,0.0,45.17741935483871
81,1304080,2,"Wankhede Stadium, Mumbai",PP Shaw,DA Warner,SN Khan,RR Pant,,,R Ashwin,OC McCoy,TA Boult,M Prasidh Krishna,,55,123.27105957556392,29.71052631578948,113.20491191289184,45.21875,130.08658008658008,25.0,105.8238591119026,52.0,0.0,0.0,0.0,0.0,6.721590909090909,25.717391304347824,7.0,14.0,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0.0,0.0,45.17741935483871
94,1304073,1,"Wankhede Stadium, Mumbai",GJ Maxwell,Anuj Rawat,F du Plessis,V Kohli,,,Mustafizur Rahman,AR Patel,KK Ahmed,SN Thakur,,40,117.27073375144344,23.33333333333333,50.220458553791886,12.833333333333334,112.06102799701122,43.52941176470589,101.37329644052625,37.45614035087719,0.0,0.0,0.0,0.0,6.824561403508772,43.22222222222222,7.486111111111111,41.46153846153846,8.203125,32.8125,8.724137931034482,36.142857142857146,0.0,0.0,45.17741935483871
95,1304073,2,"Wankhede Stadium, Mumbai",PP Shaw,DA Warner,MR Marsh,,,,Mohammed Siraj,JR Hazlewood,GJ Maxwell,Shahbaz Ahmed,,57,123.27105957556392,29.71052631578948,113.20491191289184,45.21875,114.64318064182194,38.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,8.808080808080808,41.523809523809526,7.452830188679245,32.916666666666664,9.0,45.0,8.923076923076923,116.0,0.0,0.0,45.17741935483871
108,1304066,1,"Wankhede Stadium, Mumbai",SV Samson,D Padikkal,JC Buttler,,,,Ravi Bishnoi,JO Holder,Avesh Khan,PVD Chameera,,44,105.5171190834352,30.27272727272728,101.5529136002946,33.21052631578947,125.41178130297332,49.2,0.0,0.0,0.0,0.0,0.0,0.0,8.23076923076923,53.5,8.943396226415095,52.66666666666666,8.275862068965518,30.0,8.416666666666666,28.857142857142858,0.0,0.0,45.17741935483871
109,1304066,2,"Wankhede Stadium, Mumbai",JO Holder,Q de Kock,KL Rahul,K Gowtham,DJ Hooda,,R Ashwin,TA Boult,M Prasidh Krishna,,,31,78.57142857142857,12.0,114.36517255005649,37.13636363636363,112.9144170865236,57.142857142857146,100.0,8.0,94.33643279797124,89.0,0.0,0.0,6.721590909090909,25.717391304347824,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0.0,0.0,0.0,0.0,45.17741935483871
122,1304059,1,"Wankhede Stadium, Mumbai",YBK Jaiswal,D Padikkal,JC Buttler,,,,Mohammed Siraj,Akash Deep,DJ Willey,,,35,115.0545237057554,30.5,101.5529136002946,33.21052631578947,125.41178130297332,49.2,0.0,0.0,0.0,0.0,0.0,0.0,8.808080808080808,41.523809523809526,9.0,22.5,7.142857142857143,100.0,0.0,0.0,0.0,0.0,45.17741935483871
123,1304059,2,"Wankhede Stadium, Mumbai",Anuj Rawat,F du Plessis,,,,,R Ashwin,TA Boult,M Prasidh Krishna,,,48,50.220458553791886,12.833333333333334,112.06102799701122,43.52941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.721590909090909,25.717391304347824,7.2988505747126435,31.75,8.170454545454545,47.93333333333333,0.0,0.0,0.0,0.0,45.17741935483871
132,1304054,1,"Wankhede Stadium, Mumbai",LS Livingstone,PBB Rajapaksa,MA Agarwal,S Dhawan,RA Bawa,,UT Yadav,TG Southee,CV Varun,Shivam Mavi,,62,147.87271551977437,33.5,124.76851851851852,18.666666666666668,103.50092539419524,24.163265306122447,108.27256295114648,38.036144578313255,0.0,0.0,0.0,0.0,7.829383886255924,31.16981132075472,7.96078431372549,47.76470588235294,7.225806451612903,37.333333333333336,8.42,46.77777777777778,0.0,0.0,45.17741935483871
133,1304054,2,"Wankhede Stadium, Mumbai",SS Iyer,VR Iyer,SW Billings,AM Rahane,,,OF Smith,K Rabada,Arshdeep Singh,,,51,104.44867055360102,34.48,106.17361181989664,30.818181818181817,93.09358465608466,31.25,96.78070320910912,32.523809523809526,0.0,0.0,0.0,0.0,7.0,21.0,8.195876288659793,31.8,8.280701754385966,31.466666666666665,0.0,0.0,0.0,0.0,45.17741935483871
140,1304050,1,"Wankhede Stadium, Mumbai",Q de Kock,E Lewis,KL Rahul,A Badoni,MK Pandey,DJ Hooda,LH Ferguson,VR Aaron,Mohammed Shami,,,32,114.36517255005649,37.13636363636363,120.01816697390863,32.30769230769231,112.9144170865236,57.142857142857146,8.333333333333332,1.0,97.6621939271184,36.53333333333333,94.33643279797124,89.0,8.055555555555555,19.33333333333333,8.890625,40.642857142857146,7.651933701657459,47.75862068965517,0.0,0.0,0.0,0.0,45.17741935483871
