,ID,Innings,Venue,batsman1,batsman2,batsman3,batsman4,batsman5,batsman6,bowler1,bowler2,bowler3,bowler4,bowler5,tot_runs,batsman1_strike_rate,batsman1_batting_avg,batsman2_strike_rate,batsman2_batting_avg,batsman3_strike_rate,batsman3_batting_avg,batsman4_strike_rate,batsman4_batting_avg,batsman5_strike_rate,batsman5_batting_avg,batsman6_strike_rate,batsman6_batting_avg,bowler1_economy,bowler1_bowling_avg,bowler2_economy,bowler2_bowling_avg,bowler3_economy,bowler3_bowling_avg,bowler4_economy,bowler4_bowling_avg,bowler5_economy,bowler5_bowling_avg
1800,336032,1,Feroz Shah Kotla,ST Jayasuriya,SR Tendulkar,NA,NA,NA,NA,GD McGrath,B Geeves,MF Maharoof,VY Mahesh,NA,60,105.93046550399492,27.05263157894737,102.01030385410918,45.72,0,0,0,0,0,0,0,0,5.891891891891892,27.25,12.5,50.0,7.571428571428571,26.5,11.461538461538462,37.25,0,0
1801,336032,2,Feroz Shah Kotla,V Sehwag,MK Tiwary,S Dhawan,G Gambhir,NA,NA,A Nel,A Nehra,DS Kulkarni,SM Pollock,NA,56,126.33711852586782,27.46551724137931,78.77399071516717,22.4,108.27256295114648,38.036144578313255,106.69287767793648,36.142857142857146,0,0,0,0,12.0,12.0,7.579234972677596,34.675,7.594117647058823,29.34090909090909,6.264705882352941,26.625,0,0
1802,336031,1,"Punjab Cricket Association Stadium, Mohali",HH Gibbs,AC Gilchrist,NA,NA,NA,NA,VRV Singh,S Sreesanth,RR Powar,NA,NA,42,89.3966493621927,29.8,112.42119110480262,29.46808510638298,0,0,0,0,0,0,0,0,10.461538461538462,136.0,7.778947368421052,26.392857142857142,7.772727272727272,42.75,0,0,0,0
1803,336031,2,"Punjab Cricket Association Stadium, Mohali",SE Marsh,KC Sangakkara,NA,NA,NA,NA,SB Styris,DP Vijaykumar,Y Venugopal Rao,RP Singh,NA,74,100.45437744686728,38.95,98.03357753357754,37.285714285714285,0,0,0,0,0,0,0,0,6.428571428571429,45.0,7.411764705882353,42.0,9.571428571428571,67.0,7.407185628742515,35.34285714285714,0,0
1804,336029,1,"MA Chidambaram Stadium, Chepauk",R Dravid,V Kohli,JH Kallis,SP Goswami,NA,NA,M Ntini,MS Gony,NA,NA,NA,23,94.86145391526014,53.23529411764706,101.37329644052625,37.45614035087719,90.79866502772862,31.393939393939394,81.08709273182959,20.375,0,0,0,0,7.0,36.4,8.91358024691358,40.11111111111112,0,0,0,0,0,0
1805,336029,2,"MA Chidambaram Stadium, Chepauk",PA Patel,SP Fleming,NA,NA,NA,NA,A Kumble,DW Steyn,P Kumar,JH Kallis,NA,44,100.89885541728164,26.816901408450704,98.97140522875816,20.0,0,0,0,0,0,0,0,0,5.0,30.0,6.502645502645502,36.14705882352941,6.919847328244275,45.325,7.441860465116279,35.55555555555556,0,0
1806,336028,1,Wankhede Stadium,JR Hopes,SE Marsh,LA Pomersbach,NA,NA,NA,A Nehra,VS Yeligati,SM Pollock,NA,NA,43,104.00481404683087,23.857142857142858,100.45437744686728,38.95,126.359126984127,26.0,0,0,0,0,0,0,7.579234972677596,34.675,13.0,13.0,6.264705882352941,26.625,0,0,0,0
1807,336028,2,Wankhede Stadium,DR Smith,ST Jayasuriya,SR Tendulkar,NA,NA,NA,IK Pathan,S Sreesanth,VRV Singh,NA,NA,68,108.48812046364829,46.65384615384615,105.93046550399492,27.05263157894737,102.01030385410918,45.72,0,0,0,0,0,0,7.215686274509804,39.42857142857143,7.778947368421052,26.392857142857142,10.461538461538462,136.0,0,0,0,0
1808,336027,1,Eden Gardens,Salman Butt,Mohammad Hafeez,SC Ganguly,NA,NA,NA,SR Watson,MM Patel,Sohail Tanvir,NA,NA,32,96.9671201814059,26.0,75.94696969696969,9.333333333333334,84.86901488978373,27.84210526315789,0,0,0,0,0,0,7.302158273381295,29.852941176470587,7.192660550458716,27.03448275862069,6.590909090909091,24.166666666666668,0,0,0,0
1809,336027,2,Eden Gardens,SR Watson,GC Smith,SA Asnodkar,Sohail Tanvir,NA,NA,I Sharma,AB Dinda,Umar Gul,AB Agarkar,NA,42,100.3576376295124,34.65853658536585,78.60582251929536,28.76923076923077,113.1593715409806,30.88888888888889,162.5,13.0,0,0,0,0,7.308056872037914,35.04545454545455,7.481481481481482,30.60606060606061,7.0,10.5,9.833333333333334,49.16666666666666,0,0
1810,336026,1,M Chinnaswamy Stadium,JH Kallis,B Chipli,SP Goswami,NA,NA,NA,GD McGrath,PJ Sangwan,VY Mahesh,NA,NA,41,90.79866502772862,31.393939393939394,73.87987012987013,11.0,81.08709273182959,20.375,0,0,0,0,0,0,5.891891891891892,27.25,8.830508474576272,40.07692307692308,11.461538461538462,37.25,0,0,0,0
1811,336026,2,M Chinnaswamy Stadium,V Sehwag,G Gambhir,NA,NA,NA,NA,DW Steyn,P Kumar,Z Khan,JH Kallis,NA,71,126.33711852586782,27.46551724137931,106.69287767793648,36.142857142857146,0,0,0,0,0,0,0,0,6.502645502645502,36.14705882352941,6.919847328244275,45.325,6.875576036866359,28.150943396226417,7.441860465116279,35.55555555555556,0,0
1812,336025,1,Eden Gardens,DB Das,Salman Butt,Mohammad Hafeez,SC Ganguly,NA,NA,M Ntini,MS Gony,NA,NA,NA,35,76.19047619047619,14.5,96.9671201814059,26.0,75.94696969696969,9.333333333333334,84.86901488978373,27.84210526315789,0,0,0,0,7.0,36.4,8.91358024691358,40.11111111111112,0,0,0,0,0,0
1813,336025,2,Eden Gardens,PA Patel,SP Fleming,NA,NA,NA,NA,AB Dinda,I Sharma,AB Agarkar,Shoaib Akhtar,NA,43,100.89885541728164,26.816901408450704,98.97140522875816,20.0,0,0,0,0,0,0,0,0,7.481481481481482,30.60606060606061,7.308056872037914,35.04545454545455,9.833333333333334,49.16666666666666,7.714285714285714,10.8,0,0
1814,336024,1,"Rajiv Gandhi International Stadium, Uppal",DJ Thornely,ST Jayasuriya,SR Tendulkar,NA,NA,NA,DP Vijaykumar,Y Venugopal Rao,DNT Zoysa,RP Singh,NA,57,16.666666666666664,4.0,105.93046550399492,27.05263157894737,102.01030385410918,45.72,0,0,0,0,0,0,7.411764705882353,42.0,9.571428571428571,67.0,7.5,45.0,7.407185628742515,35.34285714285714,0,0
